House_Size_sqft,Price
2185.430534813131,298057.3461521572
4778.214378844623,694228.4347920702
3793.972738151323,576872.2889279727
3193.9631788866645,455617.0103068791
1202.0838819909643,202565.26840271067
1201.9753415129119,178873.89541033006
761.3762547568977,115918.33229242516
4397.7926559872085,654101.4390459234
3205.0175528444397,496209.5896975404
3686.3266000822045,568612.187767871
592.630224331111,95595.62068791006
4864.594334728975,740984.9323274991
4245.991883601898,632656.9891418761
1455.5259980522428,229172.9598460174
1318.2123524319527,190974.29735531675
1325.3202943404522,198842.67659431585
1869.0900933179198,274870.63901036204
2861.4039423450704,420066.2205653766
2443.752583889521,352780.6516289923
1810.5311308911887,280933.471710856
3253.3380262507076,514212.8221938754
1127.7223729341881,192580.3953735194
1814.6509184084816,247066.33104236354
2148.6282948216126,348078.3052513793
2552.3149289766616,376484.0693141407
4033.291826268561,617008.434243196
1398.5320197126189,191655.4963159486
2814.0549728612523,424947.84420666797
3165.865559879191,481154.29763981677
709.0268572399898,76661.93274760542
3233.9518335564726,497258.1183603547
1267.358556592812,217022.4836456881
792.7321684337578,115416.86635143112
4769.984917639999,742701.1002625602
4845.344148835517,723007.7524562795
4137.7880665240755,637659.9005995437
1870.7619612801682,236242.8948730032
939.5245130287274,189304.23254057838
3579.048619304706,566766.457800565
2480.686221828206,366410.42318915727
1049.1720568015048,117934.02798734937
2728.2960955007156,415004.98169121717
654.7483450184827,69333.74081129728
4591.941809354519,697688.3421543277
1664.5099172000762,257907.80196329707
3481.350279592919,503374.47855889733
1902.6998424023493,307824.31683264
2840.3060953001486,442157.4083511458
2960.1962570447586,463545.9053024851
1331.8450498648717,199953.91155310866
4863.130824940514,701159.142402803
3988.0977051250156,617772.1012129751
4727.745237038851,703754.3575731119
4526.72307692442,651212.8586748096
3190.549904649883,505623.273016969
4648.434057604026,739253.259050654
898.2162592336377,133907.4763054616
1381.9228808861535,250470.85522498886
703.5228000974213,107354.71458684019
1963.9864884346896,286988.8551818764
2249.047803602669,324748.0014566908
1721.0706429825316,290902.2446072346
4229.318791183682,618794.9410497969
2105.3899701211517,330513.8817176725
1764.2052935932134,253447.51733779785
2942.132374212118,432113.7208803305
1134.1590123864319,190728.84573735614
4109.886413393178,608882.2250831897
835.4778965589687,117225.77689543944
4940.991214702328,763804.7761488453
3975.101461834958,628213.1651396762
1394.2205669037758,222026.88110125103
524.8495270562108,65632.03354595264
4169.576428046754,615224.2942210614
3680.858047314277,553727.0123719423
3780.5322561844428,573498.4396661796
3970.7165600867556,575850.1658102178
833.2009328034067,139440.89871210826
2113.0957784492266,318674.633360176
1021.4107678630837,118897.44880669998
4383.965416440171,639016.282816811
3304.8415707240106,485643.66213556833
1989.0411118369213,296899.0129987171
786.0125762871064,155687.46235314588
1899.4204477204798,289676.49328086455
1963.3249491203617,277683.3045700817
3783.227802521288,571896.7864643366
3369.008621098459,498309.5382156912
4492.457341593469,680363.7660296912
2624.967163228772,405356.42822502804
1038.1741067223577,179910.7289528324
3709.6015425034775,555954.5014621211
3923.5327187760386,621309.1183684025
3025.747389062733,472022.5616101338
